GWAS	set_id	analysis_class	TF	condition	membership_rule	n_genes_HGNC	n_genes_mapped_to_entrez	size_status	included_in_MAGMA	exact_membership_group_within_class_condition	n_TFs_with_exact_membership	NGENES_MAGMA	post_MAGMA_size_status	BETA	BETA_STD	SE	P	Q_BH_within_condition_class	Q_BH_across_analysis_class	Q_BH_across_primary_signed
T2D_diamante2022	SCTF2363	unsigned_sensitivity	ETS1	palmitate	empirical_p_condition<0.01; unsigned sensitivity	123	91	primary	True	unsigned_sensitivity|palmitate|D006	2	85	primary	0.16701	0.011338	0.12378	0.088639	0.3825120408163265	0.5029581676646707	
T2D_diamante2022	SCTF2364	unsigned_sensitivity	ETS2	palmitate	empirical_p_condition<0.01; unsigned sensitivity	122	86	primary	True	unsigned_sensitivity|palmitate|D043	1	86	primary	0.11416	0.0077952	0.12628	0.18301	0.48473200000000005	0.5649906484641638	
T2D_diamante2022	SCTF2365	unsigned_sensitivity	ETV1	palmitate	empirical_p_condition<0.01; unsigned sensitivity	42	28	exploratory	True	unsigned_sensitivity|palmitate|D044	1	27	exploratory	-0.10968	-0.0042032	0.22644	0.68593	0.7922584472049689	0.8292253625170998	
T2D_diamante2022	SCTF2366	unsigned_sensitivity	ETV3	palmitate	empirical_p_condition<0.01; unsigned sensitivity	182	109	primary	True	unsigned_sensitivity|palmitate|D045	1	106	primary	-0.011534	-0.00087387	0.11211	0.54097	0.7172861481481481	0.7674020684039087	
T2D_diamante2022	SCTF2367	unsigned_sensitivity	ETV4	palmitate	empirical_p_condition<0.01; unsigned sensitivity	192	163	primary	True	unsigned_sensitivity|palmitate|D046	1	158	primary	0.14701	0.01358	0.089901	0.051003	0.3825120408163265	0.4507083431372549	
T2D_diamante2022	SCTF2368	unsigned_sensitivity	ETV5	palmitate	empirical_p_condition<0.01; unsigned sensitivity	100	70	primary	True	unsigned_sensitivity|palmitate|D004	2	65	primary	0.056947	0.0033825	0.14396	0.34621	0.6289165	0.6797645474613687	
T2D_diamante2022	SCTF2369	unsigned_sensitivity	ETV6	palmitate	empirical_p_condition<0.01; unsigned sensitivity	153	103	primary	True	unsigned_sensitivity|palmitate|D047	1	101	primary	0.10623	0.0078574	0.11582	0.17953	0.48473200000000005	0.5634964157706093	
T2D_diamante2022	SCTF2370	unsigned_sensitivity	FEV	palmitate	empirical_p_condition<0.01; unsigned sensitivity	103	69	primary	True	unsigned_sensitivity|palmitate|D048	1	69	primary	-0.0014231	-8.7082e-05	0.13548	0.50419	0.6942308461538462	0.738932432885906	
T2D_diamante2022	SCTF2371	unsigned_sensitivity	FOS	palmitate	empirical_p_condition<0.01; unsigned sensitivity	120	81	primary	True	unsigned_sensitivity|palmitate|D049	1	78	primary	0.10087	0.0065607	0.13537	0.2281	0.5291056410256411	0.6036317717717719	
T2D_diamante2022	SCTF2372	unsigned_sensitivity	FOXA1	palmitate	empirical_p_condition<0.01; unsigned sensitivity	183	115	primary	True	unsigned_sensitivity|palmitate|D050	1	112	primary	0.026878	0.002093	0.10087	0.39494	0.6485711926605504	0.6949348282828284	
T2D_diamante2022	SCTF2373	unsigned_sensitivity	FOXA2	palmitate	empirical_p_condition<0.01; unsigned sensitivity	157	98	primary	True	unsigned_sensitivity|palmitate|D051	1	93	primary	-0.12327	-0.0087512	0.11938	0.84909	0.8743738505747127	0.9006859659781288	
T2D_diamante2022	SCTF2374	unsigned_sensitivity	FOXA3	palmitate	empirical_p_condition<0.01; unsigned sensitivity	155	115	primary	True	unsigned_sensitivity|palmitate|D052	1	110	primary	0.20687	0.015965	0.11451	0.035425	0.3730044117647059	0.4407882142857143	
T2D_diamante2022	SCTF2375	unsigned_sensitivity	FOXJ2	palmitate	empirical_p_condition<0.01; unsigned sensitivity	149	71	primary	True	unsigned_sensitivity|palmitate|D053	1	69	primary	0.016211	0.000992	0.13895	0.45356	0.6806290082644628	0.7167396785714285	
T2D_diamante2022	SCTF2376	unsigned_sensitivity	FOXJ3	palmitate	empirical_p_condition<0.01; unsigned sensitivity	84	63	primary	True	unsigned_sensitivity|palmitate|D005	2	62	primary	-0.057186	-0.0033177	0.14309	0.65529	0.7716901973684211	0.82062966954023	
T2D_diamante2022	SCTF2377	unsigned_sensitivity	FOXK1	palmitate	empirical_p_condition<0.01; unsigned sensitivity	100	76	primary	True	unsigned_sensitivity|palmitate|D054	1	75	primary	0.10358	0.006607	0.13279	0.21769	0.5251382666666667	0.6036317717717719	
T2D_diamante2022	SCTF2378	unsigned_sensitivity	FOXK2	palmitate	empirical_p_condition<0.01; unsigned sensitivity	109	86	primary	True	unsigned_sensitivity|palmitate|D055	1	84	primary	0.079801	0.0053857	0.12865	0.26753	0.5727186363636364	0.6439417857142857	
T2D_diamante2022	SCTF2379	unsigned_sensitivity	FOXO1	palmitate	empirical_p_condition<0.01; unsigned sensitivity	112	75	primary	True	unsigned_sensitivity|palmitate|D056	1	69	primary	0.039155	0.002396	0.1362	0.38687	0.647193738317757	0.6949348282828284	
T2D_diamante2022	SCTF2380	unsigned_sensitivity	FOXO3	palmitate	empirical_p_condition<0.01; unsigned sensitivity	59	50	primary	True	unsigned_sensitivity|palmitate|D007	2	49	primary	0.021476	0.001108	0.16912	0.44948	0.6806290082644628	0.7167396785714285	
T2D_diamante2022	SCTF2381	unsigned_sensitivity	FOXO6	palmitate	empirical_p_condition<0.01; unsigned sensitivity	185	111	primary	True	unsigned_sensitivity|palmitate|D057	1	111	primary	0.16034	0.01243	0.10711	0.067218	0.3825120408163265	0.47751007200000006	
T2D_diamante2022	SCTF2382	unsigned_sensitivity	FOXP1	palmitate	empirical_p_condition<0.01; unsigned sensitivity	150	88	primary	True	unsigned_sensitivity|palmitate|D058	1	81	primary	0.30174	0.019999	0.12593	0.0082905	0.2055516666666667	0.341365804	
T2D_diamante2022	SCTF2383	unsigned_sensitivity	FOXP2	palmitate	empirical_p_condition<0.01; unsigned sensitivity	167	132	primary	True	unsigned_sensitivity|palmitate|D059	1	129	primary	0.1779	0.01486	0.10175	0.040208	0.3825120408163265	0.4498196547619048	
