frozen_archetype	motif_family	candidate_TF	annotation_source	membership_evidence	motif_compatibility_level	SCbeta_baseline_expression_logCPM	SCbeta_dynamic_range	max_abs_logFC	DE_in_any_condition	n_dynamic_conditions	usable_for_candidate_TF_assignment
HD/2	HD	DLX1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=2)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/2	HD	DLX2	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=2)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/2	HD	DLX3	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=2)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/2	HD	DLX4	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=2)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/2	HD	DLX5	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=2)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/2	HD	DLX6	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=2)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/2	HD	EMX1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=2)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/2	HD	EMX2	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=2)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/2	HD	EN1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=2)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/2	HD	EN2	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=2)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/2	HD	ESX1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=2)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/2	HD	EVX1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=2)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/2	HD	EVX2	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=2)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/2	HD	GBX1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=2)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
HD/2	HD	GBX2	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=2)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
