TF	condition	database	n_query_genes	n_positive_rho_genes	n_negative_rho_genes	n_background_genes	n_pathways_tested	query_status	n_pathways_with_overlap	n_pathways_FDR_lt_0.05	minimum_P	minimum_BH_FDR
CEBPD	palmitate	GO_BP	117	45	67	20749	5392	testable	714	0	0.0008633598647400189	1.0
CEBPD	palmitate	Hallmark	117	45	67	20749	50	testable	29	0	0.0402412639169959	0.9808859090243854
CEBPD	palmitate	Reactome	117	45	67	20749	1816	testable	488	0	0.0002623201261194794	0.4763733490329746
CEBPG	3-cyt	GO_BP	59	27	31	20749	5392	testable	485	0	0.000515104903427561	1.0
CEBPG	3-cyt	Hallmark	59	27	31	20749	50	testable	17	0	0.10087670060492453	1.0
CEBPG	3-cyt	Reactome	59	27	31	20749	1816	testable	231	0	0.0024724320445344704	1.0
CEBPG	Ex-4_HG	GO_BP	151	74	73	20749	5392	testable	665	0	0.0003933007686006511	0.9321246438624412
CEBPG	Ex-4_HG	Hallmark	151	74	73	20749	50	testable	29	0	0.07322687294270787	1.0
CEBPG	Ex-4_HG	Reactome	151	74	73	20749	1816	testable	392	0	0.00016122335781788814	0.29278161779728484
CEBPG	IFNg	GO_BP	166	93	71	20749	5392	testable	870	0	0.000626237119016879	1.0
CEBPG	IFNg	Hallmark	166	93	71	20749	50	testable	36	0	0.013121035393493736	0.4706171461855066
CEBPG	IFNg	Reactome	166	93	71	20749	1816	testable	414	0	0.005435242749696101	1.0
CEBPG	dex	GO_BP	151	96	54	20749	5392	testable	592	0	0.0007742047675598799	1.0
CEBPG	dex	Hallmark	151	96	54	20749	50	testable	31	0	0.03426313115363911	1.0
CEBPG	dex	Reactome	151	96	54	20749	1816	testable	298	0	0.00452066714638825	1.0
CEBPG	palmitate	GO_BP	167	53	109	20749	5392	testable	757	0	0.0021396926049147337	1.0
CEBPG	palmitate	Hallmark	167	53	109	20749	50	testable	21	0	0.005545607839499601	0.21197791220495224
CEBPG	palmitate	Reactome	167	53	109	20749	1816	testable	338	0	0.0009456190181003174	1.0
CLOCK	3-cyt	GO_BP	76	35	40	20749	5392	testable	457	0	0.0002747602228887417	0.9853259554398627
CLOCK	3-cyt	Hallmark	76	35	40	20749	50	testable	17	0	0.029672459215401552	0.7421753468539473
CLOCK	3-cyt	Reactome	76	35	40	20749	1816	testable	268	0	0.0010060924359073815	1.0
CLOCK	Ex-4_HG	GO_BP	150	64	82	20749	5392	testable	769	0	5.856015891569191e-05	0.31575637687341074
